Review,Sentiment Scores,Compound Score,Sentiment Label
My belt bag started ripping at the corner seam within 3 months of having it. After contacting customer service they said it was over a year old and they couldn’t do anything for me. I explained the bag was only 3 months old and attached photos as well as my receipt showing the date of purchase and they told me they could no longer assist me and the case was closed. Absolutely awful customer service. This company does not stand behind their product. Do not recommend at all. ,"{'neg': 0.085, 'neu': 0.892, 'pos': 0.023, 'compound': -0.6708}",-0.6708,Negative
Horrible customer service. The representative was snotty and sarcastic over the phone. Taking my business to Nike from now on. ,"{'neg': 0.234, 'neu': 0.766, 'pos': 0.0, 'compound': -0.6705}",-0.6705,Negative
"DON’T BUY ONLINEPurchased the Nulu Jacket online. It’s been 3 weeks and the order has still not arrived. Apparently it got lost in transit. All the hassle to have to call customer service and wait an hour to speak with an agent to finally be put on hold. Called and wait an hour again. Worst customer service, extremely disappointed. I would not recommend this company. ","{'neg': 0.168, 'neu': 0.832, 'pos': 0.0, 'compound': -0.898}",-0.898,Negative
"Their customer service sucks! My order was supposed to be delivered last Wednesday, but it still hasn't arrived. They're using the absolutely worst courier service on earth called OnTrack. I've called customer service multiple times, but nobody is able to help; they just listen and hang up. I'm done with shopping online!","{'neg': 0.138, 'neu': 0.804, 'pos': 0.058, 'compound': -0.7072}",-0.7072,Negative
Terrible customer service with lost item. Will not be buying from them in the future ,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.6597}",-0.6597,Negative
"I make all of my Lulu orders online, and I have had nothing but positive experiences each time. The quality of the items are excellent, and their staples are very cosy. The customer service is next to none, especially when something goes wrong with the order.","{'neg': 0.149, 'neu': 0.758, 'pos': 0.093, 'compound': -0.4563}",-0.4563,Negative
Grate service but I heard Lululemon fabrics can cause cancer and heart attack and Lululemon ceo fat shame's ppl and don't want black ppl to buy there products and as being a black person who likes this line the CEO should be sewed for this act and not thinking about what he wants to say and if it is appropriate before he says it ,"{'neg': 0.158, 'neu': 0.791, 'pos': 0.05, 'compound': -0.8352}",-0.8352,Negative
"Will never order again. They use carriers that don’t deliver to military posts and then it’s the longest process to get your money back. Will be filing a chargeback. Their customer service does nothing and just continually passes you off. Terrible. Also, took them 5 days to get the order out. Do better. ","{'neg': 0.056, 'neu': 0.891, 'pos': 0.053, 'compound': -0.0516}",-0.0516,Negative
Tried to return faulty leggings and it was the most frustrating convoluted process I’ve had online. The €98 leggings were a birthday present for my daughter. Piling appeared after 1 wear and the material was poor quality. I eventually received a return label after being asked 2 times for information they already had.For some unknown reason I had to wait another 3 days for it ( plus email them again).It felt like customer service was commenting on queries to look like they were responding when actually they were just asking for information they already had. Either nobody reads complaints or it’s being auto answered by a service ai bot. Either way it is painful to work through. I would not recommend buying anything from this company online.,"{'neg': 0.125, 'neu': 0.837, 'pos': 0.038, 'compound': -0.8835}",-0.8835,Negative
Absolutely horrible customer service!  Their warranty is useless as their associates continuously set expectations that they don’t live up to.  For the prices they charge for their products you would expect their service to be impeccable.  The truth is their service is pathetic.,"{'neg': 0.204, 'neu': 0.752, 'pos': 0.044, 'compound': -0.8513}",-0.8513,Negative
