Review,Sentiment Scores,Compound Score,Sentiment Label
"Truly the worst company I’ve ever dealt with. Lost my order and had the cheek to tell me I am responsible for letting them know, even though it hadn’t left their warehouse! Naturally the items are now sold out. The online staff are rude and claim not to have a formal complaints process. ","{'neg': 0.198, 'neu': 0.719, 'pos': 0.083, 'compound': -0.8016}",-0.8016,Negative
My belt bag started ripping at the corner seam within 3 months of having it. After contacting customer service they said it was over a year old and they couldn’t do anything for me. I explained the bag was only 3 months old and attached photos as well as my receipt showing the date of purchase and they told me they could no longer assist me and the case was closed. Absolutely awful customer service. This company does not stand behind their product. Do not recommend at all. ,"{'neg': 0.085, 'neu': 0.892, 'pos': 0.023, 'compound': -0.6708}",-0.6708,Negative
Terrible quality for the price. Stitching unravels within months and they will refuse a quality control refund. $120 per pair should last longer than 6 months. ,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.6486}",-0.6486,Negative
Their returns and damage policies have recently changed. Only 1 year. I had a terrible experience with their returns department. You pay a lot of money to a company that doesn't stand behind their product. Will not be purchasing from them again despite being a returning customer for years,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.7717}",-0.7717,Negative
"Lululemon has an ""F"" rating on the Better Business Bureau website.  That should tell you how they handle disputes...they don't.  ","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}",0.4404,Positive
At these prices I would expect better delivery service. Incorrect notifications of timing and it took nearly 2 weeks to deliver to the Rep of Ireland. I won’t be ordering again. ,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4404}",0.4404,Positive
"At the store in Bend, OR, the sales assistant ordered a pair of pants in my size which were not available in the store.  This was on June 3.  On June 6, I received an email stating that the item had shipped. On June 7, my credit card was charged for the item.  On June 10, I tracked my shipment only to learn that the shipper was still awaiting the item.  I contacted Lululemon through the live chat which was completely useless.  I then called and, after waiting on hold for a long time, was immediately told that ""the item was lost"" and that I could get it shipped in another color or get a refund.  If the system immediately knew that the item was lost, why was it necessary for me to do all the work to track this down.  I should have been sent an email right away giving me the option to cancel the order.  As it stands, I now have to wait another 10 business days to get a refund.  I am unlikely to purchase from Lululemon in the future.","{'neg': 0.063, 'neu': 0.909, 'pos': 0.028, 'compound': -0.6697}",-0.6697,Negative
"Be very aware of sizing with Lululemon. I bought a pair of running tights in the sale marked size 10, NZ 14. These are so small I can't wear them. I am normally a 12. Because they are on sale they won't replace even though I believe they are incorrectly sized. I used to love Lululemon. Now find the fabric is thin, colours uninspiring and very very expensive for what they are. Bye Lululemon.","{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.6369}",0.6369,Positive
"Lululemon charges premium prices. $138 for a pair I'm me a pants. They seem to have backed down on their quality promise. The belt loop on one of my pants snapped and I went to the sq1 location to have it replaced. Was not a pleasing experience as I learned that their quality promise is now only valid for 1 year. My pants were labeled  01/2023 and one on the managers Insisted it was just over a year old and hence would not replace. Needless to say, at $138 I will never buy another item at Lululemon and urge all my friends to be aware of this And shop elsewhere. ","{'neg': 0.044, 'neu': 0.875, 'pos': 0.08, 'compound': 0.4449}",0.4449,Positive
"This company is worth it at all. Spent almost fighting this people who serve you country and for dependents want document even if you show your ID. Just for discount. I have other websites that I gone through and never once ask documents. Just information on my DOD number. This website is just plain and the people to help are not nice to accommodate. They say the same to you overe and over. They are not acccomdating. They say cover the your essential documentation ask, but that to me identity theft. All I ask is accept what have and move on simple. ","{'neg': 0.031, 'neu': 0.882, 'pos': 0.086, 'compound': 0.5762}",0.5762,Positive
